book_id,short_ai_summary,long_ai_summary,recommendation_reason,search_text
1,"To Kill a Mockingbird by Harper Lee — Coming-of-Age exploring American South, childhood.","To Kill a Mockingbird, written by Harper Lee and first published in 1960, is a literary fiction work (Coming-of-Age) set against a backdrop of USA during 1930s. A young girl in a small Alabama town watches her father, a principled lawyer, defend a Black man falsely accused of a crime, and comes to understand prejudice, courage, and moral growth in her community. Readers drawn to American South, childhood, justice, morality, racism will find this book especially rewarding, and it is commonly recommended for General Readers, Students looking for a emotional/thought-provoking reading experience at a intermediate difficulty level.","Recommended for readers who enjoy emotional literary fiction with a narrative style, especially fans of themes like American South, childhood.","To Kill a Mockingbird | Harper Lee | Literary Fiction | Coming-of-Age | A young girl in a small Alabama town watches her father, a principled lawyer, defend a Black man falsely accused of a crime, and comes to understand prejudice, courage, and moral growth in her community. | american south, childhood, coming-of-age, fiction, justice, kill, literary, mockingbird, morality, racism | American South, Emotional, Thought-provoking, childhood, justice, morality, racism | American South, childhood, justice, morality, racism"
2,"The Great Gatsby by F. Scott Fitzgerald — Tragedy exploring 1920s, American Dream.","The Great Gatsby, written by F. Scott Fitzgerald and first published in 1925, is a literary fiction work (Tragedy) set against a backdrop of USA during 1920s. A mysterious millionaire's obsessive pursuit of a lost love unfolds against the excess of the Jazz Age, exposing the hollowness beneath the American Dream. Readers drawn to 1920s, American Dream, class, love, wealth will find this book especially rewarding, and it is commonly recommended for General Readers, Students looking for a emotional/thought-provoking reading experience at a intermediate difficulty level.","Recommended for readers who enjoy emotional literary fiction with a narrative style, especially fans of themes like 1920s, American Dream.","The Great Gatsby | F. Scott Fitzgerald | Literary Fiction | Tragedy | A mysterious millionaire's obsessive pursuit of a lost love unfolds against the excess of the Jazz Age, exposing the hollowness beneath the American Dream. | 1920s, american dream, class, fiction, gatsby, great, literary, love, tragedy, wealth | 1920s, American Dream, Emotional, Thought-provoking, class, love, wealth | 1920s, American Dream, class, love, wealth"
3,"Beloved by Toni Morrison — Historical exploring haunting, memory.","Beloved, written by Toni Morrison and first published in 1987, is a literary fiction work (Historical) set against a backdrop of USA during 1870s. A formerly enslaved woman is haunted, literally and figuratively, by the trauma of her past when a mysterious young woman arrives at her home. Readers drawn to haunting, memory, motherhood, slavery, trauma will find this book especially rewarding, and it is commonly recommended for General Readers, Students looking for a emotional/thought-provoking reading experience at a intermediate difficulty level.","Recommended for readers who enjoy emotional literary fiction with a narrative style, especially fans of themes like haunting, memory.","Beloved | Toni Morrison | Literary Fiction | Historical | A formerly enslaved woman is haunted, literally and figuratively, by the trauma of her past when a mysterious young woman arrives at her home. | beloved, fiction, haunting, historical, literary, memory, motherhood, slavery, trauma | Emotional, Thought-provoking, haunting, memory, motherhood, slavery, trauma | haunting, memory, motherhood, slavery, trauma"
4,"The Kite Runner by Khaled Hosseini — Historical exploring Afghanistan, friendship.","The Kite Runner, written by Khaled Hosseini and first published in 2003, is a literary fiction work (Historical) set against a backdrop of Afghanistan during 1970s-2000s. A boy's betrayal of his closest friend in Kabul haunts him into adulthood, driving a journey of guilt, war, and an attempt at redemption decades later. Readers drawn to Afghanistan, friendship, guilt, redemption, war will find this book especially rewarding, and it is commonly recommended for General Readers, Students looking for a emotional/thought-provoking reading experience at a intermediate difficulty level.","Recommended for readers who enjoy emotional literary fiction with a narrative style, especially fans of themes like Afghanistan, friendship.","The Kite Runner | Khaled Hosseini | Literary Fiction | Historical | A boy's betrayal of his closest friend in Kabul haunts him into adulthood, driving a journey of guilt, war, and an attempt at redemption decades later. | afghanistan, fiction, friendship, guilt, historical, kite, literary, redemption, runner, war | Afghanistan, Emotional, Thought-provoking, friendship, guilt, redemption, war | Afghanistan, friendship, guilt, redemption, war"
5,"Dune by Frank Herbert — Space Opera exploring desert survival, ecology.","Dune, written by Frank Herbert and first published in 1965, is a science fiction work (Space Opera) set against a backdrop of Fictional/Arrakis during Distant Future. On a desert planet that is the sole source of a universe-altering substance, a young heir becomes entangled in prophecy, ecology, and interstellar politics. Readers drawn to desert survival, ecology, empire, politics, prophecy will find this book especially rewarding, and it is commonly recommended for General Readers, Engineers looking for a suspenseful/thrilling reading experience at a intermediate difficulty level.","Recommended for readers who enjoy suspenseful science fiction with a narrative style, especially fans of themes like desert survival, ecology.","Dune | Frank Herbert | Science Fiction | Space Opera | On a desert planet that is the sole source of a universe-altering substance, a young heir becomes entangled in prophecy, ecology, and interstellar politics. | desert survival, dune, ecology, empire, fiction, opera, politics, prophecy, science, space | Suspenseful, Thrilling, desert survival, ecology, empire, politics, prophecy | desert survival, ecology, empire, politics, prophecy"
6,"Project Hail Mary by Andy Weir — Hard Sci-Fi exploring first contact, memory loss.","Project Hail Mary, written by Andy Weir and first published in 2021, is a science fiction work (Hard Sci-Fi) set against a backdrop of Space/Earth during Near Future. A lone astronaut wakes with no memory on a solo mission to save Earth from an extinction-level threat, and must solve science-driven puzzles to survive. Readers drawn to first contact, memory loss, science, space travel, survival will find this book especially rewarding, and it is commonly recommended for General Readers, Engineers looking for a suspenseful/thrilling reading experience at a intermediate difficulty level.","Recommended for readers who enjoy suspenseful science fiction with a narrative style, especially fans of themes like first contact, memory loss.","Project Hail Mary | Andy Weir | Science Fiction | Hard Sci-Fi | A lone astronaut wakes with no memory on a solo mission to save Earth from an extinction-level threat, and must solve science-driven puzzles to survive. | fiction, first contact, hail, hard, mary, memory loss, project, sci-fi, science, space travel, survival | Suspenseful, Thrilling, first contact, memory loss, science, space travel, survival | first contact, memory loss, science, space travel, survival"
7,"Neuromancer by William Gibson — Cyberpunk exploring artificial intelligence, corporations.","Neuromancer, written by William Gibson and first published in 1984, is a science fiction work (Cyberpunk) set against a backdrop of Global/Cyberspace during Near Future. A washed-up computer hacker is hired for one last job that pulls him into a dangerous conspiracy involving artificial intelligence and corporate power. Readers drawn to artificial intelligence, corporations, cyberpunk, hacking, virtual reality will find this book especially rewarding, and it is commonly recommended for General Readers, Engineers looking for a suspenseful/thrilling reading experience at a intermediate difficulty level.","Recommended for readers who enjoy suspenseful science fiction with a narrative style, especially fans of themes like artificial intelligence, corporations.","Neuromancer | William Gibson | Science Fiction | Cyberpunk | A washed-up computer hacker is hired for one last job that pulls him into a dangerous conspiracy involving artificial intelligence and corporate power. | artificial intelligence, corporations, cyberpunk, fiction, hacking, neuromancer, science, virtual reality | Suspenseful, Thrilling, artificial intelligence, corporations, cyberpunk, hacking, virtual reality | artificial intelligence, corporations, cyberpunk, hacking, virtual reality"
8,"Ender's Game by Orson Scott Card — Military Sci-Fi exploring alien invasion, childhood.","Ender's Game, written by Orson Scott Card and first published in 1985, is a science fiction work (Military Sci-Fi) set against a backdrop of Earth/Space during Future. A gifted child is trained in a brutal military academy to command Earth's fleet against an alien threat, at steep personal and moral cost. Readers drawn to alien invasion, childhood, leadership, strategy, war will find this book especially rewarding, and it is commonly recommended for General Readers, Engineers looking for a suspenseful/thrilling reading experience at a intermediate difficulty level.","Recommended for readers who enjoy suspenseful science fiction with a narrative style, especially fans of themes like alien invasion, childhood.","Ender's Game | Orson Scott Card | Science Fiction | Military Sci-Fi | A gifted child is trained in a brutal military academy to command Earth's fleet against an alien threat, at steep personal and moral cost. | alien invasion, childhood, ender, fiction, game, leadership, military, sci-fi, science, strategy, war | Suspenseful, Thrilling, alien invasion, childhood, leadership, strategy, war | alien invasion, childhood, leadership, strategy, war"
9,"The Hobbit by J.R.R. Tolkien — High Fantasy exploring courage, dragons.","The Hobbit, written by J.R.R. Tolkien and first published in 1937, is a fantasy work (High Fantasy) set against a backdrop of Middle-earth during Fantasy World. A reluctant, home-loving hobbit is swept into a quest with a band of dwarves to reclaim treasure guarded by a dragon, discovering unexpected courage along the way. Readers drawn to courage, dragons, friendship, mythology, quest will find this book especially rewarding, and it is commonly recommended for General Readers looking for a mysterious/inspirational reading experience at a intermediate difficulty level.","Recommended for readers who enjoy mysterious fantasy with a narrative style, especially fans of themes like courage, dragons.","The Hobbit | J.R.R. Tolkien | Fantasy | High Fantasy | A reluctant, home-loving hobbit is swept into a quest with a band of dwarves to reclaim treasure guarded by a dragon, discovering unexpected courage along the way. | courage, dragons, fantasy, friendship, high, hobbit, mythology, quest | Inspirational, Mysterious, courage, dragons, friendship, mythology, quest | courage, dragons, friendship, mythology, quest"
10,"A Game of Thrones by George R.R. Martin — Epic Fantasy exploring betrayal, dragons.","A Game of Thrones, written by George R.R. Martin and first published in 1996, is a fantasy work (Epic Fantasy) set against a backdrop of Westeros (Fictional) during Fantasy World. Noble houses vie for control of a fractured kingdom while an ancient threat stirs beyond a great northern wall, in a story of politics, betrayal, and war. Readers drawn to betrayal, dragons, politics, power, war will find this book especially rewarding, and it is commonly recommended for General Readers looking for a mysterious/inspirational reading experience at a intermediate difficulty level.","Recommended for readers who enjoy mysterious fantasy with a narrative style, especially fans of themes like betrayal, dragons.","A Game of Thrones | George R.R. Martin | Fantasy | Epic Fantasy | Noble houses vie for control of a fractured kingdom while an ancient threat stirs beyond a great northern wall, in a story of politics, betrayal, and war. | betrayal, dragons, epic, fantasy, game, politics, power, thrones, war | Inspirational, Mysterious, betrayal, dragons, politics, power, war | betrayal, dragons, politics, power, war"
