id,name
AU1,Harper Lee
AU2,F. Scott Fitzgerald
AU3,Toni Morrison
AU4,Khaled Hosseini
AU5,Frank Herbert
AU6,Andy Weir
AU7,William Gibson
AU8,Orson Scott Card
AU9,J.R.R. Tolkien
AU10,George R.R. Martin
AU11,Patrick Rothfuss
AU12,Madeline Miller
AU13,Gillian Flynn
AU14,Alex Michaelides
AU15,Dan Brown
AU16,Tana French
AU17,Diana Gabaldon
AU18,Jojo Moyes
AU19,Sally Thorne
AU20,Colleen Hoover
AU21,Yuval Noah Harari
AU22,Stephen Hawking
AU23,Daniel Kahneman
AU24,James Clear
AU25,Anne Frank
AU26,Jared Diamond
AU27,Walter Isaacson
AU28,Laura Hillenbrand
AU29,Dale Carnegie
AU30,Robert Kiyosaki
AU31,Eric Ries
AU32,Angela Duckworth
AU33,John Green
AU34,Suzanne Collins
AU35,J.K. Rowling
AU36,Rick Riordan
AU37,E.B. White
AU38,Maurice Sendak
AU39,Roald Dahl
AU40,Eric Carle
AU41,Stephen King
AU42,Bram Stoker
AU43,Mary Shelley
AU44,Jane Austen
AU45,George Orwell
AU46,Leo Tolstoy
AU47,Walt Whitman
AU48,Homer
AU49,Fyodor Dostoevsky
AU50,Gabriel García Márquez
AU51,Tara Westover
AU52,Trevor Noah
AU53,Nelson Mandela
AU54,Carl Sagan
AU55,Richard Dawkins
AU56,Rachel Carson
AU57,Viktor E. Frankl
AU58,Mark Manson
AU59,Cal Newport
AU60,Robert C. Martin
AU61,Thomas H. Cormen
AU62,Charles E. Leiserson
AU63,Ronald L. Rivest
AU64,Clifford Stein
AU65,Martin Kleppmann
AU66,Nicholas Sparks
AU67,Emily Henry
AU68,Stieg Larsson
AU69,Thomas Harris
AU70,Brandon Sanderson
AU71,Ursula K. Le Guin
AU72,Isaac Asimov
AU73,Shirley Jackson
AU74,Ira Levin
AU75,Shel Silverstein
AU76,Jeff Kinney
AU77,C.S. Lewis
AU78,Peter Thiel
AU79,Jim Collins
AU80,Veronica Roth
AU81,Leigh Bardugo
AU82,Samin Nosrat
AU83,Jon Krakauer
AU84,Art Spiegelman
AU85,Alan Moore
AU86,Dave Gibbons
AU87,Chinua Achebe
