id,name
PUB1,J.B. Lippincott & Co.
PUB2,Charles Scribner's Sons
PUB3,Alfred A. Knopf
PUB4,Riverhead Books
PUB5,Chilton Books
PUB6,Ballantine Books
PUB7,Ace Books
PUB8,Tor Books
PUB9,George Allen & Unwin
PUB10,Bantam Spectra
PUB11,DAW Books
PUB12,"Little, Brown and Company"
PUB13,Crown Publishing
PUB14,Celadon Books
PUB15,Doubleday
PUB16,Viking Press
PUB17,Delacorte Press
PUB18,Penguin Books
PUB19,William Morrow
PUB20,Atria Books
PUB21,Harper
PUB22,Bantam Books
PUB23,"Farrar, Straus and Giroux"
PUB24,Avery
PUB25,Contact Publishing
PUB26,W. W. Norton & Company
PUB27,Simon & Schuster
PUB28,Random House
PUB29,Plata Publishing
PUB30,Crown Business
PUB31,Scribner
PUB32,Dutton Books
PUB33,Scholastic Press
PUB34,Scholastic
PUB35,Disney-Hyperion
PUB36,Harper & Brothers
PUB37,Harper & Row
PUB38,Jonathan Cape
PUB39,World Publishing Company
PUB40,Archibald Constable and Company
PUB41,"Lackington, Hughes, Harding, Mavor & Jones"
PUB42,"T. Egerton, Whitehall"
PUB43,Secker & Warburg
PUB44,The Russian Messenger
PUB45,Self-published
PUB46,Penguin Classics
PUB47,Harper Perennial
PUB48,Spiegel & Grau
PUB49,Oxford University Press
PUB50,Houghton Mifflin
PUB51,Beacon Press
PUB52,HarperOne
PUB53,Grand Central Publishing
PUB54,Prentice Hall
PUB55,MIT Press
PUB56,O'Reilly Media
PUB57,Warner Books
PUB58,Berkley
PUB59,Vintage Crime
PUB60,St. Martin's Press
PUB61,Corsair
PUB62,Amulet Books
PUB63,Geoffrey Bles
PUB64,HarperBusiness
PUB65,Katherine Tegen Books
PUB66,Henry Holt and Co.
PUB67,Villard
PUB68,Pantheon Books
PUB69,DC Comics
PUB70,Anchor Books
